ano,mes,cbo6,faixa_sm,mov,n,sal_medio
2023,2,212430,6_a_10SM,adm,13,11095.0
2023,2,212430,6_a_10SM,deslig,10,9800.45
2023,2,212430,acima_10SM,adm,2,15950.0
2023,2,212430,acima_10SM,deslig,3,15700.81
2023,2,212430,ate_3SM,adm,26,2662.27
2023,2,212430,ate_3SM,deslig,13,3060.34
2023,2,317105,3_a_6SM,adm,9,5698.9
2023,2,317105,3_a_6SM,deslig,19,5301.36
2023,2,317105,6_a_10SM,adm,7,10651.29
2023,2,317105,6_a_10SM,deslig,1,12166.05
2023,2,317105,acima_10SM,adm,5,17052.88
2023,2,317105,acima_10SM,deslig,2,29138.08
2023,2,317105,ate_3SM,adm,29,2346.74
2023,2,317105,ate_3SM,deslig,29,2453.51
2023,2,317110,3_a_6SM,adm,183,5598.76
2023,2,317110,3_a_6SM,deslig,295,5727.68
2023,2,317110,6_a_10SM,adm,162,9925.57
2023,2,317110,6_a_10SM,deslig,220,10274.49
2023,2,317110,acima_10SM,adm,79,18636.03
2023,2,317110,acima_10SM,deslig,78,16866.68
2023,2,317110,ate_3SM,adm,320,2505.37
2023,2,317110,ate_3SM,deslig,271,2612.69
2023,2,317115,3_a_6SM,adm,18,4994.73
2023,2,317115,3_a_6SM,deslig,24,5040.72
2023,2,317115,acima_10SM,adm,2,14200.0
2023,2,317115,ate_3SM,adm,24,2835.88
2023,2,317115,ate_3SM,deslig,25,2988.45
2023,2,317120,3_a_6SM,adm,7,6138.57
2023,2,317120,3_a_6SM,deslig,3,4992.55
2023,2,317120,6_a_10SM,adm,3,11786.67
2023,2,317120,6_a_10SM,deslig,6,10531.86
2023,2,317120,acima_10SM,adm,1,14000.0
2023,2,317120,acima_10SM,deslig,1,18193.07
2023,2,317120,ate_3SM,adm,15,2246.26
2023,2,317120,ate_3SM,deslig,10,2543.34
2023,2,317205,3_a_6SM,adm,17,4911.42
2023,2,317205,3_a_6SM,deslig,26,5167.25
2023,2,317205,6_a_10SM,adm,1,9500.0
2023,2,317205,6_a_10SM,deslig,13,10568.22
2023,2,317205,acima_10SM,adm,1,15500.0
2023,2,317205,acima_10SM,deslig,6,18377.27
2023,2,317205,ate_3SM,adm,193,1911.37
2023,2,317205,ate_3SM,deslig,165,2094.47
2023,2,317210,3_a_6SM,adm,24,4919.29
2023,2,317210,3_a_6SM,deslig,42,4785.65
2023,2,317210,6_a_10SM,adm,7,10394.01
2023,2,317210,6_a_10SM,deslig,6,10615.19
2023,2,317210,acima_10SM,adm,1,16448.75
2023,2,317210,acima_10SM,deslig,6,18581.03
2023,2,317210,ate_3SM,adm,713,2011.46
2023,2,317210,ate_3SM,deslig,558,2106.47
2023,3,142505,3_a_6SM,adm,6,5425.61
2023,3,142505,3_a_6SM,deslig,6,5529.59
2023,3,142505,6_a_10SM,adm,5,11000.0
2023,3,142505,6_a_10SM,deslig,8,11749.42
2023,3,142505,acima_10SM,adm,19,21588.18
2023,3,142505,acima_10SM,deslig,26,18736.52
2023,3,142505,ate_3SM,adm,11,2633.58
2023,3,142505,ate_3SM,deslig,10,3091.24
2023,3,142510,3_a_6SM,adm,6,6281.67
2023,3,142510,3_a_6SM,deslig,17,6169.62
2023,3,142510,6_a_10SM,adm,19,10756.16
2023,3,142510,6_a_10SM,deslig,35,10920.42
2023,3,142510,acima_10SM,adm,97,20553.3
2023,3,142510,acima_10SM,deslig,162,21836.5
2023,3,142510,ate_3SM,adm,5,3352.31
2023,3,142510,ate_3SM,deslig,6,2541.28
2023,3,142515,3_a_6SM,adm,5,5400.75
2023,3,142515,3_a_6SM,deslig,10,5157.37
2023,3,142515,6_a_10SM,adm,8,11079.75
2023,3,142515,6_a_10SM,deslig,10,10506.02
2023,3,142515,acima_10SM,adm,17,25436.84
2023,3,142515,acima_10SM,deslig,55,23356.18
2023,3,142515,ate_3SM,adm,1,2200.0
2023,3,142515,ate_3SM,deslig,4,2783.96
2023,3,142520,3_a_6SM,adm,33,5926.35
2023,3,142520,3_a_6SM,deslig,39,5727.32
2023,3,142520,6_a_10SM,adm,78,10786.64
2023,3,142520,6_a_10SM,deslig,113,10996.93
2023,3,142520,acima_10SM,adm,105,19957.44
2023,3,142520,acima_10SM,deslig,180,20808.91
2023,3,142520,ate_3SM,adm,16,2502.62
2023,3,142520,ate_3SM,deslig,10,2970.53
2023,3,142520,sem_info,adm,1,
2023,3,142525,3_a_6SM,deslig,1,5021.48
2023,3,142525,6_a_10SM,adm,2,12549.11
2023,3,142525,6_a_10SM,deslig,3,12591.07
2023,3,142525,acima_10SM,adm,10,22472.68
2023,3,142525,acima_10SM,deslig,23,21326.55
2023,3,142525,ate_3SM,adm,2,2084.9
2023,3,142525,ate_3SM,deslig,1,2084.67
2023,3,142530,3_a_6SM,adm,9,5560.32
2023,3,142530,3_a_6SM,deslig,22,5630.38
2023,3,142530,6_a_10SM,adm,5,11480.44
2023,3,142530,6_a_10SM,deslig,13,11323.37
2023,3,142530,acima_10SM,adm,26,24165.05
2023,3,142530,acima_10SM,deslig,29,21699.02
2023,3,142530,ate_3SM,adm,6,3039.93
2023,3,142530,ate_3SM,deslig,13,2630.14
2023,3,142535,3_a_6SM,adm,9,5574.65
2023,3,142535,3_a_6SM,deslig,7,5671.71
2023,3,142535,6_a_10SM,adm,10,10700.0
2023,3,142535,6_a_10SM,deslig,5,10218.23
2023,3,142535,acima_10SM,adm,3,14666.67
2023,3,142535,acima_10SM,deslig,15,15520.75
2023,3,142535,ate_3SM,adm,16,2120.08
2023,3,142535,ate_3SM,deslig,21,2681.28
2023,3,212305,3_a_6SM,adm,34,5992.34
2023,3,212305,3_a_6SM,deslig,36,5791.66
2023,3,212305,6_a_10SM,adm,31,10108.0
2023,3,212305,6_a_10SM,deslig,29,10924.51
2023,3,212305,acima_10SM,adm,18,17549.88
2023,3,212305,acima_10SM,deslig,23,21195.24
2023,3,212305,ate_3SM,adm,22,2318.29
2023,3,212305,ate_3SM,deslig,27,2304.31
2023,3,212310,3_a_6SM,adm,13,6218.79
2023,3,212310,3_a_6SM,deslig,17,5454.32
2023,3,212310,6_a_10SM,adm,14,10416.33
2023,3,212310,6_a_10SM,deslig,14,10253.71
2023,3,212310,acima_10SM,adm,7,15510.02
2023,3,212310,acima_10SM,deslig,8,17963.64
2023,3,212310,ate_3SM,adm,15,2623.04
2023,3,212310,ate_3SM,deslig,22,2753.47
2023,3,212315,3_a_6SM,adm,20,5741.22
2023,3,212315,3_a_6SM,deslig,60,5695.14
2023,3,212315,6_a_10SM,adm,22,9704.4
2023,3,212315,6_a_10SM,deslig,46,9922.99
2023,3,212315,acima_10SM,adm,18,18073.33
2023,3,212315,acima_10SM,deslig,38,16243.9
2023,3,212315,ate_3SM,adm,37,2518.1
2023,3,212315,ate_3SM,deslig,59,2706.43
2023,3,212320,3_a_6SM,adm,41,5975.46
2023,3,212320,3_a_6SM,deslig,51,5735.24
2023,3,212320,6_a_10SM,adm,41,10098.61
2023,3,212320,6_a_10SM,deslig,42,10159.68
2023,3,212320,acima_10SM,adm,22,18720.14
2023,3,212320,acima_10SM,deslig,20,16848.5
2023,3,212320,ate_3SM,adm,31,2985.5
2023,3,212320,ate_3SM,deslig,28,2885.86
2023,3,212405,3_a_6SM,adm,806,5757.24
2023,3,212405,3_a_6SM,deslig,992,5857.63
2023,3,212405,6_a_10SM,adm,915,10314.09
2023,3,212405,6_a_10SM,deslig,965,10231.8
2023,3,212405,acima_10SM,adm,412,16629.21
2023,3,212405,acima_10SM,deslig,402,16700.55
2023,3,212405,ate_3SM,adm,728,2730.92
2023,3,212405,ate_3SM,deslig,682,2781.97
2023,3,212405,sem_info,deslig,1,
2023,3,212410,3_a_6SM,adm,162,5400.38
2023,3,212410,3_a_6SM,deslig,159,5441.03
2023,3,212410,6_a_10SM,adm,76,10141.91
2023,3,212410,6_a_10SM,deslig,54,9821.27
2023,3,212410,acima_10SM,adm,31,16042.98
2023,3,212410,acima_10SM,deslig,34,21773.93
2023,3,212410,ate_3SM,adm,235,2533.66
2023,3,212410,ate_3SM,deslig,254,2621.52
2023,3,212415,3_a_6SM,adm,30,5735.85
2023,3,212415,3_a_6SM,deslig,44,4947.44
2023,3,212415,6_a_10SM,adm,26,10473.0
2023,3,212415,6_a_10SM,deslig,16,9091.15
2023,3,212415,acima_10SM,adm,10,15062.74
